"Indicator type","Indicator","Description"
"URL","http://biancoeteixeira.com.br/internet-banking/acesso",""
"URL","http://lloydsbankinggroup.hirevue.com/interviews/Eac4gjm-9cy3c9",""
"URL","http://www.hqnetwork.it/wp-includes/pomo/hellobank.fr/index.php",""
"URL","http://bmoharrisdemo-tablets.com/main/atm_us/demo/online-banking.html",""
"URL","http://ruralbankofcalaca.com/j3/products-and-services/commercial-loan.html",""
"URL","http://caixainternet.com/category/internet-banking-caixa/",""
"URL","http://micro-sales.co.uk/cf.htm",""
"URL","http://www.afoipouliou.gr/hbec.php",""
"URL","http://secretsofgoldennumbers.com/private/",""
"URL","http://www.ateliergarylee.com/images/on.php",""
"URL","http://www.pantaleon.hu/gallery/10/photos/pantelimon/",""
"URL","http://richardwestleywong.com/wp-content/plugins/wp.php",""
"URL","http://www.centraldebailes.com.br/ecodopantanal/images/sampledata/BankofAmerica/security.php",""
"URL","http://xa.yimg.com/kq/groups/20183148/1128625771/name/Capital+One+Bank.htm",""
"URL","http://countryfriedmix.net/modules/mod_footer/index.php",""
"URL","http://abcbirding.com/wp-includes/sess/8181026549/verify3.html",""
"URL","http://ip-173-201-135-29.ip.secureserver.net/_hcc_thumbs/internetbanking.firstcaribbeanbank.com/Internet-Banking-LogOn.htm",""
"URL","http://ip-173-201-135-29.ip.secureserver.net/_hcc_thumbs/internetbanking.firstcaribbeanbank.com/Step2-Internet-Banking-verify-account.htm",""
"URL","http://l12411yz.bget.ru/Simple%20Tangerine%20Forward%20Banking%20Online%20Canada/index.php",""
"URL","http://www.udumo.co.za/includes/o.htm",""
"URL","http://drinkanddialtoronto.com/wp-admin/images/",""
"URL","http://drinkanddialtoronto.com/wp-admin/js/",""
"URL","http://drinkanddialtoronto.com/wp-admin/user/",""
"URL","http://www.portugalkaraoke.com/atye.php",""
"URL","http://www.akoladiesjeans.com/dsi/cdi.lerf/rci/nbce.php",""
"URL","http://www.segurosandina.com/wp-content/upgrade/10g1ns/",""
"URL","http://www.christmascartoons.org/wp-includes/reset/Step2-Internet-Banking-verify-account.htm",""
"URL","http://christmascartoons.org/wp-includes/reset/Step2-Internet-Banking-verify-account.htm",""
"URL","http://www.mautam.org/blog/wp-content/gallery/stpadre/fin.php",""
"URL","http://ehss.co.th/templates/protostar/js/us.html",""
"URL","http://www.scatolificiogiani.it/page/Login.php",""
"URL","http://www.familylifebc.com/ruam.php",""
"URL","http://foundus.my/test/system/logs/barcly.php",""
"URL","http://foundus.my/test/system/logs/warning.html",""
"URL","http://torahacademymil.org/TAM-spice/thumbs/LoginNAB.html",""
"URL","http://offshoremobiledevelopment.com/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php",""
"URL","http://www.hauslavendel.at/online./asb.co.nz/index.htm",""
"URL","http://hauslavendel.at/online./asb.co.nz/index.htm",""
"URL","http://momentumsurfandskate.com/wp-admin/maint/",""
"URL","http://kresla32.ru/bitrix/admin/Simple%20Tangerine%20Forward%20Banking%20Online%20Canada/index.php",""
"URL","http://vetserum.ru/bitrix/admin/Simple%20Tangerine%20Forward%20Banking%20Online%20Canada/",""
"URL","http://www.lafacunda.cl/readme.htm",""
"URL","http://qeautybox.com/fataidata/Home%20-%20First%20National%20Bank%20-%20FNB.htm",""
"URL","http://petranvag.ru/bitrix/admin/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php",""
"URL","http://www.idconcepto.com/rture/srot.php",""
"URL","http://www.calllimit.com/include/css.html",""
"URL","http://gallerywine.imperiavkusov.ru/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php",""
"URL","http://dsp1chr.ru/modules/mod_banners/Simple%20Tangerine%20Forward%20Banking%20Online%20Canada/index.php",""
"URL","http://novatrek.ru/bitrix/admin/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php",""
"URL","http://standard.cba.pl/phone.php",""
"URL","http://memorial59.ru/administrator/modules/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php",""
"URL","http://mydialand.com/onlinepnc.com/PNC%20Bank.html",""
"URL","http://ovslochteren.nl/asbtes/asb.co.nz/",""
"URL","http://memorial59.ru/administrator/modules/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/",""
"URL","http://lolintl.org/cb/1/index.htm",""
"URL","http://cherliga.ru/plugins/system/Pessoa-Fisica/VanGogh/PrivateBanking/Select/Recadastramento/On-line/br/",""
"URL","http://cherliga.ru/libraries/joomla/application/module/Pessoa-Fisica/VanGogh/Select/PrivateBanking/Recadastramento/Resolva-On-line/br/1_acessar.php",""
"URL","http://dichvuvnpt.com/home/components/com_user/bbtonline.html",""
"URL","http://www.kedra.lt/logs/Select/VanGogh/PrivateBanking/Recadastramento/Central-de-Atendimento/Resolva-On-line/",""
"URL","http://bankruptcy-atlanta.com/googledocss/googledocss/sss/index.htm",""
"URL","http://bankruptcy-atlanta.com/googledocss/googledocss/sss/",""
"URL","http://bankloginus.com/pnc-online-banking-login",""
"URL","http://volksbanken.x10.mx/fudicia/eBanking.htm",""
"URL","http://panaderialourdespr.com/wp-admin/network/css/in/Bank/of%20/America/verify/login/New/",""
"URL","http://www.bankloginonline.com/chase-comverifycard/",""
"URL","http://lamiciacooking.com.au/css/online-banking/Validation/login.php",""
"URL","http://maxaimnetworks.com/wp-content/uploads/2017/05/404.htm",""
"URL","http://lamiciacooking.com.au/css/online-banking/Validation",""
"URL","http://gsvvdesign.co/ametro",""
"URL","https://rutaccess.co.za/wp-admin/user/.validate/corp/cib-infinity.icicibank.co.in/Ret.userBANKAWAY/",""
"URL","http://banklogindir.com/aj-smith-federal-savings-bank-login/",""
"URL","https://ibank.standardchartered.com.hk/nfs/login.htm",""
"URL","http://dreptulmeulaavort.ro/libraries/cms/form/css/b5e2rehijb5ejicehmhgceogkrepkfowpfk.php",""
"URL","http://www.jouce.in/wp-includes/fonts/bankofmontreal/onlinebanking/cgi-bin/netbnx/NBmain/",""
"URL","http://onlinebanking101.com/first-tennessee-online-banking-login/",""
"URL","http://ldmcentralbankmuzaffarpur.co.in/gh/seniorpeoplemeet/seniorpeoplemeet.php",""
"URL","http://www.myfidelitybankbenefits.com/myfidelitybankbenefits.com/myfidelitybankbenefits.com",""
"URL","http://documentflow.cititraduzioni.it/de/sparkasse/login-online-banking.html=true/",""
"URL","http://atmglobalbank.com/conta_visa.htm",""
"URL","http://www.hedgeconetworks.com/wp-includes/js/",""
"URL","http://asn-englishweb.com/onlinebanking/login.php?message=Youarenotloggedin!",""
"URL","https://demskigroup.com/updatesession/corp/cib-infinity.icicibank.co.in/Ret.userBANKAWAY/c92501dc6800f275cd70d4811/details.html",""
"URL","http://fremontriverrock.jaredspaulding.com/wp-content/file/",""
"URL","http://epcapp.com/js/bankofamerica.com/account/re-activation/b06edcf23bb9779cf66be184e/",""
"URL","http://onlinebanking101.com/key-bank-online-banking-login/",""
"URL","http://universitylanguageschool.com/wp-admin/images/index.php",""
"URL","http://elxvirtual.com/confirm.profile/details13/login.php?23PYZ3WFFKQ-NAB=Secure=NBOIQBCDETM0VG9UMHQGAJWY9PLFVVV8WAGDBJGG3T6P069CEPJEZ52=SignonBankId=?YLD36ZP4LQBORLVXEFUT5QT8U9IYZDRNPUHLKXGVDIAVTWJY13IXJ2W314SQ.Enabled=true",""
"URL","http://www.blogdobalaiodegato.com.br/old/index.htm",""
"URL","http://www.alexholiday.com/hotel/blommu.htm",""
"URL","http://theconsumersforum.com/css/dsss.html",""
"URL","http://www.blogdobalaiodegato.com.br/.git/logs/index.htm",""
"URL","https://crm.technogait.com/jz/clg/login.php",""
"URL","http://airportsecurityblog.com/asbsbbb.htm",""
"URL","http://busch32.nl/de/sparkasse/login-online-banking.html=true/",""
"URL","http://noeltechnologies.com/images/parallax/nn/",""
"URL","http://www.quarton.com.tw/img/Finish.php",""
"URL","http://ispgroupsac.com/web/userfiles/cms/monografia/moon/index.php",""
"URL","http://epcapp.com/js/bankofamerica.com/account/re-activation/b5da6357b62302dd6bb27e0b6/",""
"URL","http://rsahmad.com/secureline/banking/wellsfargo/wellssecure/wells/W/W/signon/wellsfargo/session.cgiscreenid=SIGNON.htm",""
"URL","http://rsahmad.com/secureline/banking/wellsfargo/wellssecure/wells/W/W/signon/wellsfargo/ATMIdentity.html",""
"URL","http://www.myfidelitybankbenefits.com/wp-login.php?redirect_to=http://www.myfidelitybankbenefits.com/myfidelitybankbenefits.com",""
"URL","http://www.injeteck.com.br/wpinjeteck/templerun/bankoofamerica/realrecognizereal/BOA/BOA/en/",""
"URL","https://demskigroup.com/authentication/corp/cib-infinity.icicibank.co.in/Ret.userBANKAWAY/d6090712709e90854920cfeaa/",""
"URL","http://firedclay.com.au/boa/",""
"URL","http://lamiciacooking.com.au/css/online-banking/Validation/",""
"URL","http://steps-sd.com/wp-content/Scan/KeyBank/",""
"URL","http://dreptulmeulaavort.ro/libraries/cms/form/css/2.php",""
"URL","http://www.boucherierenerichard.com/te/",""
"URL","http://straplesssuspenders.com/wp-content/themes/default/rss.php",""
"URL","http://dome-medical.com/wp%2Dcontent/themes/twentyseventeen/template%2Dparts/navigation/ib/",""
"URL","http://alaris.com.br/dmre/merc.fena/ecc/neds.php",""
"URL","http://threegreen.com.au/images/bankofamerica.com/bankofamerica.com/safe.ssl.confirm.onlinebankingofamerica.com/",""
"URL","http://dreptulmeulaavort.ro/libraries/cms/form/css/b5e2rehijb5ejicehmhgceogkrepkfowpffk.php",""
"URL","http://www.jenntechsystems.com/wp-includes/txt/ppt/",""
"URL","http://epcapp.com/js/bankofamerica.com/account/re-activation/c4de484f96e0e86c90c5dde11/",""
"URL","https://sociedadcolombianadefisica.org.co/Descargas/sure/processing.php",""
"URL","http://bankaustria.confluentc.com",""
"URL","http://inside-madagascar.com/confirm-bankofamerica.php",""
"URL","http://www.boucherierenerichard.com/te",""
"URL","http://www.alvoradams.com.br/banner/marcas/zpi.php",""
"URL","http://www.dome-medical.com/wp%2Dcontent/themes/twentyseventeen/template%2Dparts/navigation/ib/",""
"URL","http://mawarrental.com/d2Yp626K/services/9f9a72dffd89f4e7a2d581cd245d894b/index.html",""
"URL","http://uib-bank.blogspot.com.eg/2017/09/httpwwwgirlsvideosonlineinfosl2120843.html?m=1",""
"URL","http://secure-banklogin.us/regions-online-banking-login",""
"URL","http://dome-medical.com/wp-content/themes/twentyseventeen/template-parts/navigation/ib/",""
"URL","http://www.ibanklogin.co.uk/natwest-login-online-banking/",""
"URL","http://www.loginbank.org/bremer-bank/",""
"URL","http://www.goldenratio.or.ke/LRLDcPPSdB/index.php?bof=fishingmail@hotmail.com",""
"URL","http://www.bajadensidad.com/wp-includes/ID3/index.php",""
"URL","http://76.10.158.154/CFIDE/m32/e-confi.cfm",""
"URL","http://beaversportsmedicine.com/i/Lloyds/",""
"URL","https://xarabank.com.mt/vvv/validate",""
"URL","http://www.niloimpex.com/SgGrvUWxML/index.php?uzr=",""
"URL","http://jadilop.org/wp-admin/maint/Online.html",""
"URL","http://www.intesasanpaoloprivatebanking.biz/",""
"URL","http://www.dome-medical.com/wp-content/themes/twentyseventeen/template-parts/navigation/ib/",""
"URL","https://demskigroup.com/authentication/corp/cib-infinity.icicibank.co.in/Ret.userBANKAWAY/c44560fb55199a9799523e8f8/details.html",""
"URL","http://www.qvoss.co.kr/file/appp/tdbank/ca2df06f4c1fa0d982f8b0644af54d4c/confirm.html",""
"URL","http://steps-sd.com/wp-content/Scan/KeyBank",""
"URL","http://www.economicfile.com/associated-bank-login.html",""
"URL","http://dreptulmeulaavort.ro/libraries/cms/form/css/3.php",""
"URL","http://dreptulmeulaavort.ro/libraries/cms/form/css/b5e2rehijb5ejicehmhgceogkrepkfowpffkConfirm.php",""
"URL","http://asn-englishweb.com/onlinebanking/login.php?message=You+are+not+logged+in!",""
"URL","http://tmsvent.ru/layouts/joomla/edit/js/1/",""
"URL","https://xarabank.com.mt/vvv/validate/",""
"URL","http://www.oshop.ro/online.bankofamerica/B/",""
"URL","https://demskigroup.com/authentication/corp/cib-infinity.icicibank.co.in/Ret.userBANKAWAY",""
"URL","http://dreptulmeulaavort.ro/libraries/cms/form/css/1.php",""
"URL","http://onlinebanking101.com/coconut-grove-online-banking-login/",""
"URL","http://www.synodosgroup.com/pidc.php",""
"URL","http://imagineshe.com/ccp/ccp.php",""
"URL","http://www.asianstss.org/2012/components/com_media/login.html",""
"URL","http://www.tammysquilting.com.au/tam.htm",""
"URL","http://www.maruei.com.br/stur.php",""
"URL","http://www.cqsoft.com.uy/shoc.php",""
"URL","http://leviatan.ro/blog/alub.php",""
"URL","http://wapol-laser.pl/bhac.php",""
"URL","http://ibanklogin.co.uk/natwest-login-online-banking/",""
"URL","http://branfisa.com/imagen/gg/gg/gg/South%20State%20Banksec.htm",""
"URL","http://yoiksaver.ru/2029/",""
"URL","http://www.metroeinvest.com/",""
"URL","http://hkdbsonline.com",""
"URL","http://www.qualityhandles.com/kuss/kuss.php",""
"URL","http://kickabove.com/amic/nahs.simd/sireb/ronb.php",""
"URL","http://ml77.ru/kuss/kuss.php",""
"URL","http://elimiscar.com/profiles/minimal/translations/login.html",""
"URL","http://herbergvanboxtel.nl/wp-includes/crypt.htm",""
"URL","https://e-bardak.com/css/final/e85bcd48cdcda6bf89af7643e490b720/",""
"URL","https://r1.res.office365.com/owa/prem/16.1789.6.2317242/resources/images/0/thinking32_blue.gif",""
"URL","http://www.accommodationisa.com.au/blog/nond/sdeb.mcsa/dils/bdes.php",""
"URL","http://myinvisiblecity.com/wp-admin/img/4/index.htm",""
"URL","http://blog.bdipo.com/wp-includes/bankeee/?email=abuse@netscape.com",""
"URL","http://www.myfidelitybankbenefits.com/wp-login.php?redirect_to=http://myfidelitybankbenefits.com",""
"URL","http://www.linkconsultants.net/karm/cnt.mirs/scno/mora.php",""
"URL","http://realestateelites.com/fnbsa/clients-area/login.php",""
"URL","https://bbvacompasstheverify.typeform.com/to/PsxzxP",""
"URL","http://greeneandassociates.biz/themes/garland/fresh/boa017/BankofAmerica_VerifyInformation.html",""
"URL","http://realestateelites.com/fnbsa/cc.php",""
"URL","http://dailynewsread.blogspot.de/2010/10/absa-internet-banking-branch-code.html",""
"URL","http://www.unionnet-customer.com/wp/cand/nde.fnes/acbs/rnuc.php",""
"URL","http://nenthom.org/library/php/includes/languages/english/images/pcfn/1/",""
"URL","http://dofreego.com/~fabioarr/templates/beez_20/images/personal/home/auth/",""
"URL","http://www.hec-globaljobs.com/css/bankofamericaonline/bofaonlinesecuritycheck/security.php",""
"URL","http://bankrollers.com/ivs/filewords/index.php",""
"URL","http://khatsaz.com/templates/bankofamerica.com.login.account.update/update.html",""
"URL","http://khatsaz.com/templates/bankofamerica.com.login.account.update/signInScreen.go.html",""
"URL","http://khatsaz.com/templates/bankofamerica.com.login.account.update/",""
"URL","http://grocerydelivery.info/files/admin/reviews/b4acb17169f5dc2900fe924455f33f39/mpp/date/websc-bank.php",""
"URL","https://out.easycounter.com/external/ibank.accessbankplc.com",""
"URL","http://khatsaz.com/bankofamerica.com.login.account.update/c066ce0a5c9cf3589ba898fd57c31472/signInScreen.go.html",""
"URL","http://khatsaz.com/bankofamerica.com.login.account.update/c066ce0a5c9cf3589ba898fd57c31472/update.html",""
"URL","http://khatsaz.com/bankofamerica.com.login.account.update/1ab5b207453ce26b2c1474c0714db8da/update.html",""
"URL","http://khatsaz.com/bankofamerica.com.login.account.update/1ab5b207453ce26b2c1474c0714db8da/signInScreen.go.html",""
"URL","http://khatsaz.com/bankofamerica.com.login.account.update/9d9f5a13b59a621c7afbe6e924b12f16/",""
"URL","http://lebanon.deposits.org/private-banking/hsbc-lebanon/",""
"URL","http://cibconlinebanking.net/tag/cibc-online-banking-sign-in",""
"URL","http://aoharjgra.de/Arr/ljH/undefined/orjcvbxgytjmrwncxluvzgloguehabqpszsobpuzidmaazdylxtkefzladsafiqyi?d=eyJlbWFpbCI6Im9sbXMtYXBvdGhla2VAd2ViLmRlIn0=",""
"URL","http://yourwebupdates.com/icu/online-banking/",""
"URL","http://www.secure-banklogin.us/regions-online-banking-login/",""
"URL","http://www.sea.com.sa/images/filetypes/bankofamericam.com.8789373899383mins.rmsmrr/index",""
"URL","http://gsm-klinika.si/media/editorss/",""
"URL","http://www.lakesidefestival.nl/images/fotos/2013-01/thumbs/homer/login.html",""
"URL","http://trendmafia.net/wp-includes/Text/Diff/Renderer/zzzhurt.php",""
"URL","http://www.immob2.be/b4.htm",""
"URL","http://zavodtitan.ru/logs/SunTrust/0nline_Banking/",""
"URL","http://kinetixdance.com/wp-content/nb/index.php",""
"URL","http://hubenbartl.at/www.google.com/",""
"URL","http://seapost.com.ua/img/Customerservicetill.htm",""
"URL","http://hormontant.se/wp-includes/css/picuter/www.pnc/page/verification/online/1/index.html",""
"URL","http://bankrollers.com/ivs/filewords/",""
"URL","http://115.28.157.120/Public/upload/file/20170420/20170420020158_43802.html",""
"URL","http://lamiciacooking.com.au/css/online-banking/Validation/login.php?cmd=login_submit&id=87f666b36fc201b2d34220768c2819d887f666b36fc201b2d34220768c2819d8&session=87f666b36fc201b2d34220768c2819d887f666b36fc201b2d34220768c2819d8",""
"URL","http://www.thewebclinic.co.uk/de/sparkasse/login-online-banking.html=true/?sec=&token",""
"URL","http://www.icscardsnl-mijncard.info/536612/klantenservice/aanvragen/694773831265/banking/mha0yIpuE/?banking?operator=protect&s=true&userID=1850",""
"URL","http://icscardsnl-mijncard.info/538290/klantenservice/netherlands/225821359129/onlinebanking/oreYvHMVc/?onlinebanking?operator=protect&s=true&userID=1998",""
"URL","http://148.251.124.236/commerzbank-staging/index.php?option=com_users&view=login",""
"URL","https://www.commissionsoup.com/opts.aspx?t=SY1F74&u=https%3a%2f%2fwww.creditonebank.com%2fpre-qualification%2fdata-entry%2findex%3fC1BSourceID%3dBDEX%26C1BDescriptorID%3dAGC0300L00%26C1BSpecificationID%3dSY1F74_10410%26AID%3dFLEX_E00100%26DF1%3d040",""
"URL","https://www.commissionsoup.com/opts.aspx?t=HMU374&u=https%3a%2f%2fwww.creditonebank.com%2fpre-qualification%2fdata-entry%2findex%3fC1BSourceID%3dBDEX%26C1BDescriptorID%3dAGC0300L00%26C1BSpecificationID%3dHMU374_16615%26AID%3dMABS_E00100%26DF1%3d040",""
"URL","https://www.commissionsoup.com/opts.aspx?t=UGU374&u=https%3a%2f%2fwww.creditonebank.com%2fpre-qualification%2fdata-entry%2findex%3fC1BSourceID%3dBDEX%26C1BDescriptorID%3dAGC0300L00%26C1BSpecificationID%3dUGU374_16615%26AID%3dMABS_E00100%26DF1%3d040",""
"URL","https://www.commissionsoup.com/opts.aspx?t=RGU374&u=https%3a%2f%2fwww.creditonebank.com%2fpre-qualification%2fdata-entry%2findex%3fC1BSourceID%3dBDEX%26C1BDescriptorID%3dAGC0300L00%26C1BSpecificationID%3dRGU374_16615%26AID%3dMABS_E00100%26DF1%3d040",""
"URL","https://www.commissionsoup.com/opts.aspx?t=0B44Z3&u=https%3a%2f%2fwww.creditonebank.com%2fpre-qualification%2fdata-entry%2findex%3fC1BSourceID%3dBDEX%26C1BDescriptorID%3dAGC0300L00%26C1BSpecificationID%3d0B44Z3_16615%26AID%3dMABS_E00100%26DF1%3d040",""
"URL","http://www.horsepowersalesflorida.com/coa-spprt/bank-account/login/login.php?cmd=login_submit&id=07c76da1c3041b05ae517c1301deca2507c76da1c3041b05ae517c1301deca25&session=07c76da1c3041b05ae517c1301deca2507c76da1c3041b05ae517c1301deca25",""
"URL","http://www.horsepowersalesflorida.com/coa-spprt/bank-account/login/login.php?cmd=login_submit&id=e22c74a8cc32b57707be34c2462dd98de22c74a8cc32b57707be34c2462dd98d&session=e22c74a8cc32b57707be34c2462dd98de22c74a8cc32b57707be34c2462dd98d",""
"URL","http://www.google.ru/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CB0QFjAA&url=http%3A%2F%2Fwww.kiwibank.co.nz%2F&ei=Aiw5VdTIIOexygPmrICYAw&usg=AFQjCNELfZNkSYpWEw-L5uPiOPhXDrmM1A&sig2=05ZMMTRUrLmQlMRR0Us83w&bvm=bv.91427555",""
"URL","http://chase-banking5.world/Safe&amp;Secure-Online-Banking-Login",""
"URL","http://fitfat.pk/UPBOA/OnLineAccoUnt/BankkofAmerrica/Bofa/confirm.php?cmd=login_submit&amp;id=459b479729343e243ad4393d96b28133459b479729343e243ad4393d96b28133&amp;session=459b479729343e243ad4393d96b28133459b479729343e243ad4393d96b28133",""
"URL","http://fitfat.pk/UPBOA/OnLineAccoUnt/BankkofAmerrica/Bofa/confirm.php?cmd=login_submit&amp;id=3ba5c22788dfbec3f69a13df683ca0d73ba5c22788dfbec3f69a13df683ca0d7&amp;session=3ba5c22788dfbec3f69a13df683ca0d73ba5c22788dfbec3f69a13df683ca0d7",""
"URL","http://chase-banking.world/Safe&amp;Secure-Online-Banking-Login/error.html",""
"URL","http://chase-com0.world/Safe&amp;Secure-Chase-Bank-Online-Login/error.html",""
"URL","http://chase-com0.world/Safe&amp;Secure-Chase-Bank-Online-Login",""
"URL","http://chase-banking0.world/Safe&amp;Secure-Online-Banking-Login",""
"URL","http://account-dashbord.world/Safe&amp;Secure-Chase-Bank-Online-Login",""
